example_id,label,subset_type,C,M,absM,gisr,risk_score,decision,abstain,perm_proxy_mad,n_evidence
clot_00000,1,balanced_contradiction,0.376953125,6.75,6.75,8.4375,0.263671875,accept,False,0.0,8
clot_00001,1,hybrid_trap_refute,0.478515625,4.78125,4.78125,7.9375,0.3359375,abstain_conflict,True,0.0,6
clot_00002,1,balanced_contradiction,0.369140625,5.78125,5.78125,8.25,0.2578125,accept,False,0.0,7
clot_00003,1,hybrid_trap_refute,0.515625,5.5625,5.5625,7.96875,0.361328125,abstain_conflict,True,0.0,7
clot_00004,1,balanced_contradiction,0.4140625,6.59375,6.59375,8.25,0.2890625,accept,False,0.0,8
clot_00005,1,balanced_contradiction,0.35546875,6.0625,6.0625,8.6875,0.2490234375,accept,False,0.0,7
clot_00006,1,balanced_contradiction,0.365234375,6.71875,6.71875,8.375,0.255859375,accept,False,0.0,8
clot_00007,1,hybrid_trap_refute,0.51953125,5.4375,5.4375,7.78125,0.36328125,abstain_conflict,True,0.0,7
clot_00008,1,hybrid_trap_refute,0.462890625,4.90625,4.90625,8.125,0.32421875,abstain_conflict,True,0.0,6
clot_00009,0,paraphrase_explosion,0.404296875,7.9375,7.9375,7.9375,0.283203125,accept,False,0.0,10
clot_00010,1,hybrid_trap_refute,0.482421875,4.71875,4.71875,7.84375,0.337890625,abstain_conflict,True,0.0,6
clot_00011,1,hybrid_trap_refute,0.51171875,4.75,4.75,7.90625,0.357421875,abstain_conflict,True,0.0,6
clot_00012,1,balanced_contradiction,0.30078125,6.65625,6.65625,8.3125,0.2109375,accept,False,0.0,8
clot_00013,1,balanced_contradiction,0.349609375,6.0625,6.0625,8.6875,0.2451171875,accept,False,0.0,7
clot_00014,0,paraphrase_explosion,0.416015625,8.0625,8.0625,8.0625,0.291015625,accept,False,0.0,10
clot_00015,0,paraphrase_explosion,0.404296875,8.0,8.0,8.0,0.283203125,accept,False,0.0,10
clot_00016,0,paraphrase_explosion,0.443359375,7.0,7.0,7.0,0.310546875,accept,False,0.0,10
clot_00017,1,balanced_contradiction,0.384765625,6.59375,6.59375,8.25,0.26953125,accept,False,0.0,8
clot_00018,1,balanced_contradiction,0.400390625,5.9375,5.9375,8.5,0.28125,accept,False,0.0,7
clot_00019,1,balanced_contradiction,0.408203125,5.78125,5.78125,8.25,0.28515625,accept,False,0.0,7
clot_00020,0,paraphrase_explosion,0.404296875,7.9375,7.9375,7.9375,0.283203125,accept,False,0.0,10
clot_00021,1,balanced_contradiction,0.318359375,5.125,5.125,8.5,0.22265625,accept,False,0.0,6
clot_00022,1,balanced_contradiction,0.36328125,6.75,6.75,8.4375,0.25390625,accept,False,0.0,8
clot_00023,1,balanced_contradiction,0.392578125,5.9375,5.9375,8.5,0.275390625,accept,False,0.0,7
clot_00024,0,paraphrase_explosion,0.412109375,7.59375,7.59375,7.59375,0.2890625,accept,False,0.0,10
clot_00025,1,hybrid_trap_refute,0.458984375,4.75,4.75,7.90625,0.3203125,abstain_conflict,True,0.0,6
clot_00026,1,balanced_contradiction,0.369140625,6.0625,6.0625,8.6875,0.2578125,accept,False,0.0,7
clot_00027,0,paraphrase_explosion,0.404296875,7.9375,7.9375,7.9375,0.283203125,accept,False,0.0,10
clot_00028,1,hybrid_trap_refute,0.42578125,4.6875,4.6875,7.78125,0.298828125,accept,False,0.0,6
